ds,y
2024-07-20,67163.6449237129
2024-07-21,68154.522905866
2024-07-22,67585.2499720905
2024-07-23,65927.6723614031
2024-07-24,65372.1332336736
2024-07-25,65777.2239400202
2024-07-26,67912.06309622
2024-07-27,67813.3394163313
2024-07-28,68255.8657690205
2024-07-29,66819.9161863636
2024-07-30,66201.0162264011
2024-07-31,64619.2496492185
2024-08-01,65357.5015625505
2024-08-02,61415.0645726852
2024-08-03,60680.0946987796
2024-08-04,58116.9769610403
2024-08-05,53991.4577965042
2024-08-06,56034.3165914605
2024-08-07,55027.4606917867
2024-08-08,61710.1375644501
2024-08-09,60880.1122032153
2024-08-10,60945.8131361053
2024-08-11,58719.483169327
2024-08-12,59354.5137212797
2024-08-13,60609.5669845367
2024-08-14,58737.2706270019
2024-08-15,57560.0976318307
2024-08-16,58894.1041602173
2024-08-17,59478.9710471953
2024-08-18,58483.9649819015
2024-08-19,59493.4524821881
2024-08-20,59012.7911526577
2024-08-21,61175.192009918
2024-08-22,60381.9124606776
2024-08-23,64094.3572066269
2024-08-24,64178.9906500623
2024-08-25,64333.5441834656
2024-08-26,62880.6586542698
2024-08-27,59504.1326827134
2024-08-28,59027.6265870301
2024-08-29,59388.1808524122
2024-08-30,59119.4747770124
2024-08-31,58969.8983660431
2024-09-01,57325.4876891906
2024-09-02,59112.4795055389
2024-09-03,57431.0229886572
2024-09-04,57971.5408166853
2024-09-05,56160.4872644568
2024-09-06,53948.7522426374
2024-09-07,54139.6894492297
2024-09-08,54841.5663542288
2024-09-09,57019.5347575706
2024-09-10,57648.7124094767
2024-09-11,57343.1705364168
2024-09-12,58127.010836944
2024-09-13,60571.2991585945
2024-09-14,60005.1191557571
2024-09-15,59182.8353338828
2024-09-16,58192.5068714421
2024-09-17,60308.5375947655
2024-09-18,61649.6787266514
2024-09-19,62940.456765714
2024-09-20,63192.975082876
2024-09-21,63394.838742556
2024-09-22,63648.7098902519
2024-09-23,63329.802386615
2024-09-24,64301.9672659429
2024-09-25,63143.1459738721
2024-09-26,65181.0206972443
2024-09-27,65790.6616497344
2024-09-28,65887.6487821282
2024-09-29,65635.3081461486
2024-09-30,63329.4981294766
2024-10-01,60837.009700736
2024-10-02,60632.7862737945
2024-10-03,60759.4013268768
2024-10-04,62067.4774474519
2024-10-05,62089.9484591443
2024-10-06,62818.9544761374
2024-10-07,62236.6593684009
2024-10-08,62131.9678544148
2024-10-09,60582.1009695389
2024-10-10,60274.4980637861
2024-10-11,62445.0886070974
2024-10-12,63193.0230702875
2024-10-13,62851.3749169602
2024-10-14,66046.1280687548
2024-10-15,67041.1071653338
2024-10-16,67612.7207776042
2024-10-17,67399.8334924398
2024-10-18,68418.7890489052
2024-10-19,68362.7331098485
2024-10-20,69001.7066212849
2024-10-21,67367.8525561409
2024-10-22,67361.4026645272
2024-10-23,66432.1982471759
2024-10-24,68161.053337619
2024-10-25,66642.4107304263
2024-10-26,67014.6977283094
2024-10-27,67929.298795622
2024-10-28,69907.7546738921
2024-10-29,72720.4935748749
2024-10-30,72339.5421808449
2024-10-31,70215.1856325839
2024-11-01,69482.4698507967
2024-11-02,69289.276665623
2024-11-03,68741.1154919735
2024-11-04,67811.5091418451
2024-11-05,69359.5661661779
2024-11-06,75639.0779464884
2024-11-07,75904.8584618969
2024-11-08,76545.4766431325
2024-11-09,76778.8677516165
2024-11-10,80474.185602194
2024-11-11,88701.488084206
2024-11-12,87955.8098216397
2024-11-13,90584.1666733787
2024-11-14,87250.4312745932
2024-11-15,91066.0069552759
2024-11-16,90558.4752358199
2024-11-17,89845.8512088281
2024-11-18,90542.6439962666
2024-11-19,92343.7920549007
2024-11-20,94339.4950270085
2024-11-21,98504.7275898154
2024-11-22,98997.662080436
2024-11-23,97777.279763055
2024-11-24,98013.8209078789
2024-11-25,93102.2952135852
2024-11-26,91985.3168304103
2024-11-27,95962.5284193169
2024-11-28,95652.4651587091
2024-11-29,97461.5237129843
2024-11-30,96449.0558127732
2024-12-01,97279.7929223558
2024-12-02,95865.3016323752
2024-12-03,96002.162144032
2024-12-04,98768.5275553455
2024-12-05,96593.5722722098
2024-12-06,99920.7147303285
2024-12-07,99923.3366192646
2024-12-08,101236.0131403532
2024-12-09,97432.7212603679
2024-12-10,96675.4335399369
2024-12-11,101173.0326451109
2024-12-12,100042.9979150116
2024-12-13,101459.2544012685
2024-12-14,101372.9660786534
2024-12-15,104298.6957979219
2024-12-16,106029.7205860963
2024-12-17,106140.5982384302
2024-12-18,100041.5427029048
2024-12-19,97490.949982775
2024-12-20,97755.9301603751
2024-12-21,97224.7263442974
2024-12-22,95104.9343710597
2024-12-23,94686.2394384325
2024-12-24,98676.0973968281
2024-12-25,99299.1927492124
2024-12-26,95795.5165975983
2024-12-27,94164.8603483526
2024-12-28,95163.9319264048
2024-12-29,93530.2284378695
2024-12-30,92643.2146040146
2024-12-31,93429.2028113992
2025-01-01,94419.7575054903
2025-01-02,96886.8782682304
2025-01-03,98107.4287619937
2025-01-04,98236.2290916657
2025-01-05,98314.9594436372
2025-01-06,102078.0855728765
2025-01-07,96922.7052796726
2025-01-08,95043.5234559406
2025-01-09,92484.0369715298
2025-01-10,94701.4564626687
2025-01-11,94566.5936752458
2025-01-12,94488.4410616268
2025-01-13,94516.5256268428
2025-01-14,96534.0442146476
2025-01-15,100504.493441195
2025-01-16,99756.9090981947
2025-01-17,104462.0426222178
2025-01-18,104408.0673030506
2025-01-19,101089.6064983213
2025-01-20,102016.6622807587
2025-01-21,106146.2630067343
2025-01-22,103653.0692422291
2025-01-23,103960.1716372268
2025-01-24,104819.4844854964
2025-01-25,104714.6453663176
2025-01-26,102682.4970331773
2025-01-27,102087.6913350177
2025-01-28,101332.4762208059
2025-01-29,103703.2111924169
2025-01-30,104735.3028391485
2025-01-31,102405.0270844454
2025-02-01,100655.9056512145
2025-02-02,97688.9793048889
2025-02-03,101405.4230656902
2025-02-04,97871.8178338929
2025-02-05,96615.4445401536
2025-02-06,96593.3003285625
2025-02-07,96529.082494532
2025-02-08,96482.4498744429
2025-02-09,96500.0947902698
2025-02-10,97437.5572620868
2025-02-11,95747.4311295895
2025-02-12,97885.8630551901
2025-02-13,96623.8690084382
2025-02-14,97508.9699033175
2025-02-15,97580.3493821008
2025-02-16,96175.0320402609
2025-02-17,95773.3841866043
2025-02-18,95539.5436031828
2025-02-19,96635.6132123525
2025-02-20,98333.937829345
2025-02-21,96125.5440549653
2025-02-22,96577.7615471497
2025-02-23,96273.9197465574
2025-02-24,91418.1736674415
2025-02-25,88736.1734415255
2025-02-26,84347.019721982
2025-02-27,84704.2245822833
2025-02-28,84373.0103295802
2025-03-01,86031.9123977154
2025-03-02,94248.3505251674
2025-03-03,86065.6683289207
2025-03-04,87222.1922066767
2025-03-05,90623.5618428087
2025-03-06,89961.727243714
2025-03-07,86742.6756244441
2025-03-08,86154.5932099702
2025-03-09,80601.0413114199
2025-03-10,78532.0018084677
2025-03-11,82862.2081809809
2025-03-12,83722.3619517496
2025-03-13,81066.7013691458
2025-03-14,83969.0997189857
2025-03-15,84343.1084583416
2025-03-16,82579.6908921864
2025-03-17,84075.6886968797
2025-03-18,82718.5023176431
2025-03-19,86854.2259604391
2025-03-20,84167.1934043364
2025-03-21,84043.245182099
2025-03-22,83832.4875518333
2025-03-23,86054.3718630108
2025-03-24,87498.9124102767
2025-03-25,87471.7030479404
2025-03-26,86900.8855432885
2025-03-27,87177.1021055135
2025-03-28,84353.1510125816
2025-03-29,82597.5843388613
2025-03-30,82334.5226969202
2025-03-31,82548.9109608694
2025-04-01,85169.1695887702
2025-04-02,82485.7083713044
2025-04-03,83102.8282065402
2025-04-04,83843.8048731047
2025-04-05,83504.8001720546
2025-04-06,78214.4808171041
2025-04-07,79235.333132174
2025-04-08,76271.9501747134
2025-04-09,82573.9511277008
2025-04-10,79626.1414360505
2025-04-11,83404.8398063772
2025-04-12,85287.1132768994
2025-04-13,83684.9790281051
2025-04-14,84542.3912826737
2025-04-15,83668.9893302616
2025-04-16,84033.865416481
2025-04-17,84895.7514392675
2025-04-18,84450.8070773412
2025-04-19,85063.4130568411
2025-04-20,85174.3016291611
2025-04-21,87518.9050346999
2025-04-22,93441.8933475575
2025-04-23,93699.1131760367
2025-04-24,93943.7934161249
2025-04-25,94720.4980175858
2025-04-26,94646.928111682
2025-04-27,93754.846738124
2025-04-28,94978.7525036375
2025-04-29,94284.7916281156
2025-04-30,94207.311297523
2025-05-01,96492.3390492363
2025-05-02,96910.0685777286
2025-05-03,95891.7980343153
2025-05-04,94315.9748890489
2025-05-05,94748.0514753733
2025-05-06,96802.4775637596
2025-05-07,97032.3189665813
2025-05-08,103241.4608298014
2025-05-09,102970.8497440325
2025-05-10,104696.3272911721
2025-05-11,104106.3555262647
2025-05-12,102812.953251549
2025-05-13,104169.8128818504
2025-05-14,103539.4170891327
2025-05-15,103744.6435805224
2025-05-16,103489.29171157
2025-05-17,103191.0854776988
2025-05-18,106446.0105544264
2025-05-19,105606.1814675408
2025-05-20,106791.0896617118
2025-05-21,109678.0763095368
2025-05-22,111673.2840187451
2025-05-23,107287.7967068221
2025-05-24,107791.1575412359
2025-05-25,109035.3870327308
2025-05-26,109440.3683582281
2025-05-27,108994.6421508192
2025-05-28,107802.3245360646
2025-05-29,105641.7606983795
2025-05-30,103998.5722406304
2025-05-31,104638.0912550028
2025-06-01,105652.0985625249
2025-06-02,105881.5339020309
2025-06-03,105432.4700666072
2025-06-04,104731.9832551475
2025-06-05,101575.9523061866
2025-06-06,104390.3469384754
2025-06-07,105615.6263094638
2025-06-08,105793.6502275275
2025-06-09,110294.0991055733
2025-06-10,110257.2377123657
2025-06-11,108686.6276821388
2025-06-12,105929.0512627296
2025-06-13,106090.9663946604
2025-06-14,105472.4086528859
2025-06-15,105552.026954677
2025-06-16,106796.7571986886
2025-06-17,104601.1168292626
2025-06-18,104883.3269261613
2025-06-19,104684.2859524538
2025-06-20,103309.6041245223
2025-06-21,102257.4086896794
2025-06-22,100987.1395190547
2025-06-23,105577.7720315477
2025-06-24,106045.6320954752
2025-06-25,107361.260804055
2025-06-26,106960.0032689962
2025-06-27,107088.4302288312
2025-06-28,107327.7031808139
2025-06-29,108385.5700884473
2025-06-30,107135.3345105601
2025-07-01,105698.2781440006
2025-07-02,108859.3238682359
2025-07-03,109647.97877391
2025-07-04,108034.3390499008
2025-07-05,108231.1819901941
2025-07-06,109232.0697345571
2025-07-07,108299.851087593
2025-07-08,108950.2755431898
2025-07-09,111326.5512690552
2025-07-10,115987.206196845
2025-07-11,117516.9936684245
2025-07-12,117435.2300531511
2025-07-13,119116.1175492467
2025-07-14,119849.7057203147
2025-07-15,117777.1889947756
2025-07-16,118738.506038944
2025-07-17,119289.8421917949
2025-07-18,118003.2244955267
